simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0860156	18999	109.784
30	1213	76	0	103.269	0.00312462	23.0199
60	1213	0	0	75.0219	9.79596e-10	0.372785
90	1213	0	0	74.9512	3.0723e-16	0.00603691
120	1213	0	0	100.86	9.63561e-23	91.2345
150	1213	0	0	74.6756	3.02201e-29	1.47746
180	1213	0	0	74.8523	9.47789e-36	0.023926
210	1213	0	0	92.1568	2.97254e-42	179.766
240	1213	0	0	83.6788	9.32274e-49	5.80774
270	1213	0	0	74.8668	2.92388e-55	0.0940509
300	1213	0	0	74.7482	9.17014e-62	0.00152307
330	1213	0	0	100.823	2.87602e-68	23.0189
360	1213	0	0	74.9153	9.02003e-75	0.372769
390	1212	0	1	74.8826	2.82894e-81	0.00603665
420	1212	0	0	100.648	8.87238e-88	91.2345
450	1212	0	0	74.9902	2.78263e-94	1.47746
480	1212	0	0	75.7796	8.72714e-101	0.023926
510	1212	0	0	92.1182	2.73708e-107	179.761
540	1212	0	0	83.6851	8.58429e-114	5.83978
570	1212	0	0	75.0044	2.69228e-120	0.0945698
600	1212	0	0	74.965	8.44377e-127	0.00153147
630	1212	0	0	101.318	2.64821e-133	23.0822
660	1212	0	0	74.9427	8.30555e-140	0.373795
690	1212	0	0	75.0547	2.60486e-146	0.00605326
720	1212	0	0	100.976	8.1696e-153	91.2345
750	1212	0	0	74.8404	2.56222e-159	1.47746
780	1212	0	0	74.6654	8.03587e-166	0.023926
810	1212	0	0	92.3137	2.52028e-172	179.761
840	1212	0	0	83.7345	7.90433e-179	5.83978
870	1212	0	0	74.7082	2.47903e-185	0.0945698
900	1212	0	0	74.8254	7.77494e-192	0.00153147
930	1212	0	0	101.947	2.43845e-198	23.0822
960	1212	0	0	74.907	7.64767e-205	0.373795
990	1212	0	0	74.9227	2.39853e-211	0.00605326
1020	1212	0	0	100.789	7.52248e-218	91.2345
1050	1212	0	0	74.8722	2.35927e-224	1.47746
1080	1212	0	0	74.8123	7.39935e-231	0.023926
1110	1212	0	0	92.1974	2.32065e-237	179.761
1140	1212	0	0	83.6215	7.27823e-244	5.83978
1170	1212	0	0	74.7869	2.28266e-250	0.0945698
1200	1212	0	0	75.0307	7.15909e-257	0.00153147
1230	1212	0	0	100.818	2.2453e-263	23.0822
1260	1212	0	0	75.0011	7.0419e-270	0.373795
1290	1212	0	0	74.9168	2.20854e-276	0.00605326
1320	1212	0	0	100.96	6.92663e-283	91.2345
1350	1212	0	0	75.004	2.17239e-289	1.47746
1380	1212	0	0	75.7941	6.81325e-296	0.023926
1410	1212	0	0	91.9	0	179.761
1440	1212	0	0	81.8958	0	5.83978
1440.02	1212	0	0	0.136007	0	5.82375
