Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
1440.02;0;-60.1494;-4.16945;-77.9312;8.33713;2427.38;4.70831;0;0;3.73799e-71;0.01;0;1.83585;102;0;-1
1440.02;1;-33.1314;-30.4078;-80.7837;9.80133;3944.06;5.54889;0;0;5.84061e-71;0.01;0;2.43177;102;0;-1
1440.02;2;-33.5219;-13.6575;-69.7241;8.32099;2413.31;4.70556;0;0;5.84061e-71;0.01;0;4.58562;102;0;-1
1440.02;3;-32.758;0.218707;-74.9477;8.73744;2794.1;4.94652;0;0;3.73799e-71;0.01;0;5.01362;102;0;-1
1440.02;4;-36.4425;16.1718;-74.7426;9.79925;3941.55;5.5646;0;0;9.12596e-71;0.01;0;5.07953;102;0;-1
1440.02;5;-20.2051;-39.8142;-87.7015;9.10456;3161.3;5.13914;0;0;7.30077e-71;0.01;0;3.03466;102;0;-1
1440.02;6;-18.9619;-23.1739;-75.8042;8.57802;2643.93;4.8628;0;0;4.67249e-71;0.01;0;5.23387;102;0;-1
1440.02;7;-19.8152;-7.62539;-76.122;8.55234;2620.25;4.84302;0;0;1.42593e-70;0.01;0;5.41149;102;0;-1
1440.02;8;-20.7906;8.16159;-79.1365;8.73086;2787.79;4.94662;0;0;7.30077e-71;0.01;0;4.99899;102;0;-1
1440.02;9;-20.8764;22.8994;-74.8854;8.87263;2925.81;5.01373;0;0;5.84061e-71;0.01;0;4.92775;102;0;-1
1440.02;10;-9.67312;-49.3443;-82.5551;7.98032;2128.87;4.50128;0;0;3.73799e-71;0.01;0;3.95802;102;0;-1
1440.02;11;-7.72531;-34.8274;-77.8277;9.11772;3175.03;5.1582;0;0;7.30077e-71;0.01;0;4.85111;102;0;-1
1440.02;12;-6.30802;-15.1139;-78.4791;8.77419;2829.5;4.96401;0;0;3.73799e-71;0.01;0;4.10706;102;0;-1
1440.02;13;-7.62844;0.19437;-83.9855;9.92477;4094.97;5.60419;0;0;4.67249e-71;0.01;0;3.25087;102;0;-1
1440.02;14;-6.24695;16.0937;-76.7537;9.87981;4039.57;5.59165;0;0;4.67249e-71;0.01;0;4.8203;102;0;-1
1440.02;15;-9.8998;30.9983;-84.1877;9.38358;3460.94;5.31125;0;0;3.73799e-71;0.01;0;1.88793;102;0;-1
1440.02;16;12.4357;-44.1404;-79.0249;9.90922;4075.75;5.61663;0;0;5.84061e-71;0.01;0;4.63434;102;0;-1
1440.02;17;12.1441;-24.9279;-80.519;9.89661;4060.2;5.59182;0;0;1.42593e-70;0.01;0;4.05519;102;0;-1
1440.02;18;15.4092;-8.53207;-77.0437;8.52079;2591.36;4.81822;0;0;4.67249e-71;0.01;0;4.38324;102;0;-1
1440.02;19;10.7442;11.1149;-77.4909;8.59867;2663.07;4.89704;0;0;1.42593e-70;0.01;0;3.61401;102;0;-1
1440.02;20;11.1498;26.5768;-78.1046;8.63454;2696.54;4.89482;0;0;5.84061e-71;0.01;0;4.35529;102;0;-1
